OBJECTID,vmoTipusKod,Torzsszam,vmoNev,Rendszam,VMOEov_EOVx,VMOEov_EOVy,vFkAllomas_AdatgazdaNev,vFkAllomas_Nevr,vFkAllomas_Leiras,vFkAllomas_TalajvizkutTelepulesNev,vFkAllomas_KapcsSzkmNev,vFkAllomas_AllomasTavmBemenetNev,vFkAllomas_AllomasTVA,vFkAllomas_TalajvizkutKatSzam,vFkAllomas_TalajvizkutJelzoszam,vFkAllomas_FkAllAdatforgTipNev,vFkAllomas_TalajvizkutVizminVanE,vFkAllomas_TalajvizkutTipuskodNev,vFkAllomas_TalajvizkutTerepmag,vFkAllomas_TalajvizkutKutperemmag,vFkAllomas_TalajvizkutKutmelyseg,vFkAllomas_TalajvizjutGyorsadat,vFkAllomas_FkAllVKImon,vFkAllomas_FkAllUzemelesNev
11,12,110387,Dunakiliti,ABZ201,294339,517819,ÉDUVIZIG,-,-,Dunakiliti,Szigetközi szakaszmérnökség,nincs távmérő,0,-,11221/2,észlelt,0,üzemi állomás,125.45,126.33,3075,0,0,üzemel
12,12,110240,Rajka,ABX126,295887.27,513523.36,ÉDUVIZIG,-,-,Rajka,Szigetközi szakaszmérnökség,nincs távmérő,0,-,1SZF I/3,észlelt,1,üzemi állomás,126.49,127.37,820,0,1,üzemel
13,12,111489,Ács,AIK795,266951,571852,ÉDUVIZIG,-,-,Ács,Tatai szakaszmérnökség,nincs távmérő,0,-,96141,regisztrált,0,üzemi állomás,115.66,116.588,1410,0,0,üzemel
14,12,110616,Rajka,ACA247,295804.06,515580.03,ÉDUVIZIG,-,-,Rajka,Szigetközi szakaszmérnökség,nincs távmérő,0,-,9321,észlelt,0,üzemi állomás,125.51,126.35,1074,0,0,üzemel
15,12,4064,Feketeerdő,AAO015,289513.87,518215.26,ÉDUVIZIG,-,-,Feketeerdő,Szigetközi szakaszmérnökség,nincs távmérő,1,-,3021,regisztrált,0,törzsállomás,123.48,124.45,900,0,0,üzemel
16,12,3624,Hegyeshalom,AAO820,291928.08,505358.66,ÉDUVIZIG,-,-,Hegyeshalom,Szigetközi szakaszmérnökség,nincs távmérő,1,-,2693,regisztrált,0,törzsállomás,128.1,129.54,750,0,1,üzemel
17,12,3625,Rajka,ABE175,294425.35,508024.88,ÉDUVIZIG,-,-,Rajka,Szigetközi szakaszmérnökség,nincs távmérő,1,-,2699,regisztrált,0,törzsállomás,128.6,129.62,1200,0,1,üzemel
18,12,3626,Rajka,ABE176,297457.62,511069.76,ÉDUVIZIG,-,-,Rajka,Szigetközi szakaszmérnökség,nincs távmérő,1,-,2700,regisztrált,0,törzsállomás,129.97,131.12,1050,0,0,üzemel
19,12,3627,Rajka,ABE177,297597.65,511642.36,ÉDUVIZIG,-,-,Rajka,Szigetközi szakaszmérnökség,nincs távmérő,1,-,2727,regisztrált,0,törzsállomás,128,129.22,900,1,0,üzemel
20,12,110386,Dunakiliti,ABZ202,294339,517819,ÉDUVIZIG,-,-,Dunakiliti,Szigetközi szakaszmérnökség,nincs távmérő,0,-,11221/1,észlelt,0,üzemi állomás,125.45,126.33,1052,0,0,üzemel
